"comment_id","created_at","text","like_count","user_id","reply_count","screen_name","gender","followers_count","statuses_count","source","parent_id"
"5161176465413332","Wed Apr 30 17:03:42 +0800 2025","建议成立调查组 好好查查",190,"6031632902",13,"帝国刘怼王脾气很大","m",101,956,"来自江苏",NA
"5161310184276050","Thu May 01 01:55:02 +0800 2025","门阀世家多好，成绩再差也能出国留学，随便找俩院士推荐4+4小混一下，再过两年就是个医学领袖<span class=""url-icon""><img alt=[裂开] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fc_liekai-9df295d44f.png"" style=""width:1em; height:1em;"" /></span>",126,"5665155017",3,"Dong_192021","m",110,774,"来自浙江",NA
"5161390604289665","Thu May 01 07:14:37 +0800 2025","4+4没有盲审，董袭营论文是他姑姑学生赵基淮写的，跟学生已经发表的独作专利文内容相似，甚至有3张完全相同的图片（详细分析可见🍠Aaron帖子），希望有越来越多的人关注到这个问题，能以学术不端定性，撤销博士学位。赵基淮20年硕士入学，是本校硕博连读，但24年才博士入学，并且换了导师，其中",101,"7135961889",3,"嘻嘻嘻叽叽叽叽_","f",49,1375,"来自辽宁",NA
"5161176364483919","Wed Apr 30 17:03:18 +0800 2025","加强问责 所有帮忙通关的大佬应该拉出来 问责",75,"6031632902",3,"帝国刘怼王脾气很大","m",101,956,"来自江苏",NA
"5161175763388545","Wed Apr 30 17:00:55 +0800 2025","一查一大片 4+4官网都不敢公开了",78,"1753176917",2,"吃成一个包子","f",993,4477,"来自江苏",NA
"5161372912452602","Thu May 01 06:04:19 +0800 2025","图片评论",37,"5540630262",1,"得失随缘F","m",429,218,"来自陕西",NA
"5161336646139925","Thu May 01 03:40:11 +0800 2025","4+4……关系户输送利益通道",42,"5195627199",2,"那娜baby","m",65,279,"来自河北",NA
"5161187160625604","Wed Apr 30 17:46:12 +0800 2025","求一个真相",21,"1761847670",0,"西风晚照","f",326,1634,"来自江苏",NA
"5161403158630312","Thu May 01 08:04:30 +0800 2025","董小姐完美避开了中考，高考，研考，事业单位招聘，最后成为各位医学生的领导，<span class=""url-icon""><img alt=[允悲] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-a14a649db8.png"" style=""width:1em; height:1em;"" /></span>",33,"2398684023",0,"曾敬明","m",839,817,"来自广东",NA
"5161399115843619","Thu May 01 07:48:26 +0800 2025","图片评论",23,"1681380421",1,"Alicia纱橱羽扇小神仙","f",51,833,"来自上海",NA
"5161175983067301","Wed Apr 30 17:01:47 +0800 2025","应该用法律和规则尽量减少漏洞 不让资本和权利利用",19,"6031632902",0,"帝国刘怼王脾气很大","m",101,956,"来自江苏",NA
"5161176779459341","Wed Apr 30 17:04:57 +0800 2025","资本和权利到处钻漏洞",5,"7577811764",0,"王一一尔","m",36,424,"来自江苏",NA
"5161175689730067","Wed Apr 30 17:00:37 +0800 2025","现在可不就是近水楼台了",11,"1753176917",0,"吃成一个包子","f",993,4477,"来自江苏",NA
"5161391187822751","Thu May 01 07:16:56 +0800 2025","什么4+4明明是0+4",17,"6463367971",3,"回梦云间","f",0,19,"来自江苏",NA
"5161404786802762","Thu May 01 08:10:57 +0800 2025","<a href='/n/央视新闻'>@央视新闻</a> 开始上班了吗，开始撤热搜了",11,"3816295483",0,"YY的馨缘之旅","f",181,1387,"来自安徽",NA
"5161405016966518","Thu May 01 08:11:53 +0800 2025","<a href='/n/北京科技大学'>@北京科技大学</a> 开始上班了吗，开始撤热搜了",9,"3816295483",0,"YY的馨缘之旅","f",181,1387,"来自安徽",NA
"5161383630734831","Thu May 01 06:46:54 +0800 2025","直接取消4+4吧",10,"6583525461",0,"Elodio32851","f",21,734,"来自陕西",NA
"5161392706945147","Thu May 01 07:22:57 +0800 2025","只要不是公开考试，就会是资源转换，包括博士的申请考核制，只有高考是最后的公平。",4,"3247455962",1,"乐淘淘的猪","f",106,999,"来自山东",NA
"5161301860942019","Thu May 01 01:21:58 +0800 2025","待到秋来九月八，我花开后百花杀～！",8,"1817677800",0,"果壳里的榻榻米","m",495,386,"来自四川",NA
